yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P13861	P13861	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	activation of protein kinase A activity [GO:0034199]; blood coagulation [GO:0007596]; cellular response to glucagon stimulus [GO:0071377]; chemical synaptic transmission [GO:0007268]; intracellular signal transduction [GO:0035556]; negative regulation of cAMP-dependent protein kinase activity [GO:2000480]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; regulation of cAMP-mediated signaling [GO:0043949]; regulation of protein kinase A signaling [GO:0010738]; renal water homeostasis [GO:0003091]	cAMP binding [GO:0030552]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; cAMP-dependent protein kinase regulator activity [GO:0008603]; protein domain specific binding [GO:0019904]; protein kinase A catalytic subunit binding [GO:0034236]; ubiquitin protein ligase binding [GO:0031625]	cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleotide-activated protein kinase complex [GO:0031588]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; protein-containing complex [GO:0032991]; synapse [GO:0045202]
P14317	P14317	HCLS1_HUMAN	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75)	HCLS1 HS1	actin filament polymerization [GO:0030041]; cellular response to cytokine stimulus [GO:0071345]; erythrocyte differentiation [GO:0030218]; intracellular signal transduction [GO:0035556]; negative regulation of leukocyte apoptotic process [GO:2000107]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of granulocyte differentiation [GO:0030854]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of actin filament polymerization [GO:0030833]; regulation of transcription, DNA-templated [GO:0006355]; response to hormone [GO:0009725]	actin filament binding [GO:0051015]; protein kinase binding [GO:0019901]; RNA polymerase II transcription factor binding [GO:0001085]; SH3 domain binding [GO:0017124]	cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]; transcription regulator complex [GO:0005667]
P16070	P16070	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	cartilage development [GO:0051216]; cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular response to fibroblast growth factor stimulus [GO:0044344]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; hyaluronan catabolic process [GO:0030214]; inflammatory response [GO:0006954]; interferon-gamma-mediated signaling pathway [GO:0060333]; leukocyte migration [GO:0050900]; monocyte aggregation [GO:0070487]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; neutrophil degranulation [GO:0043312]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of monocyte aggregation [GO:1900625]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; regulation of lamellipodium morphogenesis [GO:2000392]; T cell activation [GO:0042110]; wound healing, spreading of cells [GO:0044319]	collagen binding [GO:0005518]; hyaluronic acid binding [GO:0005540]; transmembrane signaling receptor activity [GO:0004888]	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]
P16150	P16150	LEUK_HUMAN	Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)]	SPN CD43	cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]; establishment or maintenance of cell polarity [GO:0007163]; immune response [GO:0006955]; leukocyte migration [GO:0050900]; leukocyte tethering or rolling [GO:0050901]; negative regulation of cell adhesion [GO:0007162]; negative regulation of T cell proliferation [GO:0042130]; positive regulation of T cell migration [GO:2000406]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of immune response [GO:0050776]; regulation of T cell migration [GO:2000404]; signal transduction [GO:0007165]; T-helper 1 cell lineage commitment [GO:0002296]	heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; transmembrane signaling receptor activity [GO:0004888]	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; PML body [GO:0016605]; uropod [GO:0001931]
P16949	P16949	STMN1_HUMAN	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)	STMN1 C1orf215 LAP18 OP18	axonogenesis [GO:0007409]; brain development [GO:0007420]; establishment of skin barrier [GO:0061436]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; intracellular signal transduction [GO:0035556]; microtubule depolymerization [GO:0007019]; mitotic cytokinesis [GO:0000281]; mitotic spindle organization [GO:0007052]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; neuron projection development [GO:0031175]; positive regulation of cellular component movement [GO:0051272]; regulation of microtubule polymerization or depolymerization [GO:0031110]; response to virus [GO:0009615]; signal transduction [GO:0007165]	tubulin binding [GO:0015631]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; microtubule [GO:0005874]; neuron projection [GO:0043005]
P17096	P17096	HMGA1_HUMAN	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY	base-excision repair [GO:0006284]; DNA unwinding involved in DNA replication [GO:0006268]; establishment of integrated proviral latency [GO:0075713]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of chromatin silencing [GO:0031936]; negative regulation of transcription, DNA-templated [GO:0045892]; nuclear transport [GO:0051169]; nucleosome disassembly [GO:0006337]; oncogene-induced cell senescence [GO:0090402]; positive regulation of cellular senescence [GO:2000774]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; response to virus [GO:0009615]; senescence-associated heterochromatin focus assembly [GO:0035986]	5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; nuclear receptor coactivator activity [GO:0030374]; peroxisome proliferator activated receptor binding [GO:0042975]; retinoic acid receptor binding [GO:0042974]; retinoid X receptor binding [GO:0046965]; structural constituent of chromatin [GO:0030527]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]	cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; senescence-associated heterochromatin focus [GO:0035985]; transcription regulator complex [GO:0005667]
P17612	P17612	KAPCA_HUMAN	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	activation of protein kinase A activity [GO:0034199]; adaptive immune response [GO:0002250]; blood coagulation [GO:0007596]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; cell communication by electrical coupling involved in cardiac conduction [GO:0086064]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to glucagon stimulus [GO:0071377]; cellular response to glucose stimulus [GO:0071333]; cellular response to heat [GO:0034605]; cellular response to parathyroid hormone stimulus [GO:0071374]; chemical synaptic transmission [GO:0007268]; ciliary basal body-plasma membrane docking [GO:0097711]; cytokine-mediated signaling pathway [GO:0019221]; G2/M transition of mitotic cell cycle [GO:0000086]; high-density lipoprotein particle assembly [GO:0034380]; mesoderm formation [GO:0001707]; modulation of chemical synaptic transmission [GO:0050804]; mRNA processing [GO:0006397]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning [GO:1901621]; neural tube closure [GO:0001843]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of protein export from nucleus [GO:0046827]; protein autophosphorylation [GO:0046777]; protein kinase A signaling [GO:0010737]; protein phosphorylation [GO:0006468]; regulation of bicellular tight junction assembly [GO:2000810]; regulation of cardiac conduction [GO:1903779]; regulation of cardiac muscle contraction [GO:0055117]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of heart rate [GO:0002027]; regulation of macroautophagy [GO:0016241]; regulation of osteoblast differentiation [GO:0045667]; regulation of proteasomal protein catabolic process [GO:0061136]; regulation of protein binding [GO:0043393]; regulation of protein processing [GO:0070613]; regulation of ryanodine-sensitive calcium-release channel activity [GO:0060314]; renal water homeostasis [GO:0003091]; sperm capacitation [GO:0048240]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein kinase A regulatory subunit binding [GO:0034237]; protein kinase binding [GO:0019901]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ubiquitin protein ligase binding [GO:0031625]	acrosomal vesicle [GO:0001669]; calcium channel complex [GO:0034704]; cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane raft [GO:0044853]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]
P17812	P17812	PYRG1_HUMAN	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	CTPS1 CTPS	'de novo' CTP biosynthetic process [GO:0044210]; B cell proliferation [GO:0042100]; CTP biosynthetic process [GO:0006241]; glutamine metabolic process [GO:0006541]; nucleobase-containing compound metabolic process [GO:0006139]; nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleobase biosynthetic process [GO:0019856]; response to drug [GO:0042493]; T cell proliferation [GO:0042098]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; identical protein binding [GO:0042802]	cytoophidium [GO:0097268]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]
P18754	P18754	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	cell division [GO:0051301]; chromosome segregation [GO:0007059]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic nuclear envelope reassembly [GO:0007084]; mitotic spindle organization [GO:0007052]; Ran protein signal transduction [GO:0031291]; regulation of mitotic nuclear division [GO:0007088]; regulation of mitotic spindle assembly [GO:1901673]; spindle assembly [GO:0051225]; viral process [GO:0016032]	chromatin binding [GO:0003682]; guanyl-nucleotide exchange factor activity [GO:0005085]; histone binding [GO:0042393]; nucleosomal DNA binding [GO:0031492]; nucleosome binding [GO:0031491]; protein heterodimerization activity [GO:0046982]; small GTPase binding [GO:0031267]; sulfate binding [GO:0043199]	chromatin [GO:0000785]; chromosome [GO:0005694]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
P18887	P18887	XRCC1_HUMAN	DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)	XRCC1	base-excision repair [GO:0006284]; base-excision repair, DNA ligation [GO:0006288]; base-excision repair, gap-filling [GO:0006287]; cerebellum morphogenesis [GO:0021587]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; hippocampus development [GO:0021766]; negative regulation of protection from non-homologous end joining at telomere [GO:1905765]; negative regulation of protein ADP-ribosylation [GO:0010836]; nucleotide-excision repair, DNA gap filling [GO:0006297]; positive regulation of DNA ligase activity [GO:1904877]; positive regulation of single strand break repair [GO:1903518]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; response to drug [GO:0042493]; response to hydroperoxide [GO:0033194]; response to hypoxia [GO:0001666]; response to organic substance [GO:0010033]; single strand break repair [GO:0000012]; telomeric DNA-containing double minutes formation [GO:0061819]; transcription-coupled nucleotide-excision repair [GO:0006283]; voluntary musculoskeletal movement [GO:0050882]	3' overhang single-stranded DNA endodeoxyribonuclease activity [GO:1990599]; enzyme binding [GO:0019899]; oxidized DNA binding [GO:0032356]	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; ERCC4-ERCC1 complex [GO:0070522]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P19338	P19338	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	angiogenesis [GO:0001525]; negative regulation of translation [GO:0017148]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]	DNA topoisomerase binding [GO:0044547]; identical protein binding [GO:0042802]; mRNA 5'-UTR binding [GO:0048027]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]	cell cortex [GO:0005938]; chromosome [GO:0005694]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
P20020	P20020	AT2B1_HUMAN	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	ATP2B1 PMCA1	aging [GO:0007568]; brain development [GO:0007420]; calcium ion export across plasma membrane [GO:1990034]; cellular calcium ion homeostasis [GO:0006874]; cellular response to corticosterone stimulus [GO:0071386]; cellular response to vitamin D [GO:0071305]; ion transmembrane transport [GO:0034220]; negative regulation of cytokine production [GO:0001818]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; neural retina development [GO:0003407]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport [GO:0051928]; regulation of blood pressure [GO:0008217]; regulation of cardiac conduction [GO:1903779]; regulation of cellular response to insulin stimulus [GO:1900076]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of vascular associated smooth muscle contraction [GO:0003056]; response to cold [GO:0009409]	ATPase activity [GO:0016887]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; ATP binding [GO:0005524]; calcium ion transmembrane transporter activity [GO:0015085]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; P-type calcium transporter activity [GO:0005388]; P-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration [GO:1905056]	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; dendritic spine membrane [GO:0032591]; extracellular exosome [GO:0070062]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; immunological synapse [GO:0001772]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic active zone membrane [GO:0099059]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body membrane [GO:0032809]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
P20138	P20138	CD33_HUMAN	Myeloid cell surface antigen CD33 (Sialic acid-binding Ig-like lectin 3) (Siglec-3) (gp67) (CD antigen CD33)	CD33 SIGLEC3	cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-cell signaling [GO:0007267]; immune response-inhibiting signal transduction [GO:0002765]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of monocyte activation [GO:0150102]; negative regulation of tumor necrosis factor production [GO:0032720]; neutrophil degranulation [GO:0043312]; positive regulation of protein secretion [GO:0050714]; positive regulation of protein tyrosine phosphatase activity [GO:1903615]; regulation of immune response [GO:0050776]; signal transduction [GO:0007165]	carbohydrate binding [GO:0030246]; protein phosphatase binding [GO:0019903]; sialic acid binding [GO:0033691]; signaling receptor activity [GO:0038023]	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; peroxisome [GO:0005777]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
P21291	P21291	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	actin cytoskeleton organization [GO:0030036]; muscle tissue development [GO:0060537]; platelet aggregation [GO:0070527]; sarcomere organization [GO:0045214]	actinin binding [GO:0042805]; RNA binding [GO:0003723]; structural constituent of muscle [GO:0008307]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; Z disc [GO:0030018]
P21580	P21580	TNAP3_HUMAN	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	apoptotic process [GO:0006915]; B-1 B cell homeostasis [GO:0001922]; cell migration [GO:0016477]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to lipopolysaccharide [GO:0071222]; cytoskeleton organization [GO:0007010]; establishment of protein localization to vacuole [GO:0072666]; inflammatory response [GO:0006954]; negative regulation of B cell activation [GO:0050869]; negative regulation of bone resorption [GO:0045779]; negative regulation of CD40 signaling pathway [GO:2000349]; negative regulation of chronic inflammatory response [GO:0002677]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070429]; negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070433]; negative regulation of osteoclast proliferation [GO:0090291]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of toll-like receptor 2 signaling pathway [GO:0034136]; negative regulation of toll-like receptor 3 signaling pathway [GO:0034140]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of toll-like receptor 5 signaling pathway [GO:0034148]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type I interferon production [GO:0032480]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of Wnt signaling pathway [GO:0030177]; protein deubiquitination [GO:0016579]; protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]; protein K11-linked deubiquitination [GO:0035871]; protein K29-linked deubiquitination [GO:0035523]; protein K33-linked deubiquitination [GO:1990168]; protein K48-linked deubiquitination [GO:0071108]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked deubiquitination [GO:0070536]; regulation of defense response to virus by host [GO:0050691]; regulation of germinal center formation [GO:0002634]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; regulation of vascular wound healing [GO:0061043]; response to molecule of bacterial origin [GO:0002237]; response to muramyl dipeptide [GO:0032495]; tolerance induction to lipopolysaccharide [GO:0072573]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; kinase binding [GO:0019900]; Lys63-specific deubiquitinase activity [GO:0061578]; protease binding [GO:0002020]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]; thiol-dependent deubiquitinase [GO:0004843]; ubiquitin binding [GO:0043130]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; lysosome [GO:0005764]; nucleus [GO:0005634]
P22059	P22059	OSBP1_HUMAN	Oxysterol-binding protein 1	OSBP OSBP1	bile acid biosynthetic process [GO:0006699]; intracellular cholesterol transport [GO:0032367]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of secretory granule organization [GO:1904411]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; sterol transport [GO:0015918]	oxysterol binding [GO:0008142]; phosphatidylinositol-4-phosphate binding [GO:0070273]; protein domain specific binding [GO:0019904]; sterol binding [GO:0032934]; sterol transfer activity [GO:0120015]; sterol transporter activity [GO:0015248]	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; perinuclear endoplasmic reticulum [GO:0097038]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
P22087	P22087	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	box C/D RNA 3'-end processing [GO:0000494]; histone glutamine methylation [GO:1990258]; osteoblast differentiation [GO:0001649]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]; snoRNA localization [GO:0048254]	ATPase binding [GO:0051117]; histone-glutamine methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; TFIID-class transcription factor complex binding [GO:0001094]	box C/D RNP complex [GO:0031428]; Cajal body [GO:0015030]; chromosome [GO:0005694]; dense fibrillar component [GO:0001651]; extracellular exosome [GO:0070062]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]
P22626	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	G-quadruplex DNA unwinding [GO:0044806]; interleukin-12-mediated signaling pathway [GO:0035722]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA metabolic process [GO:0016070]; RNA transport [GO:0050658]; viral process [GO:0016032]	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
P23193	P23193	TCEA1_HUMAN	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1 GTF2S TFIIS	positive regulation of exoribonuclease activity [GO:1901919]; positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; transcription factor TFIID complex [GO:0005669]
